,基準階5000坪以上,,基準階200坪,
,min300,max300,min100,max100
2002下期,3,50,2.50,4
,,,,
2003上期,2.7,4.50,2.3,3.50
,,,,
2003下期,2.7,3.8,2.3,3.2
,,,,
2004上期,2.6,3.50,2.2,3.50
,,,,
2004下期,2.7,3.7,2.2,3
,,,,
20050上期,2.7,4.50,2.4,4
,,,,
20050下期,3.2,4.8,2.8,4
,,,,
2006上期,3.50,50,3.2,4
,,,,
2006下期,4,50.50,3.50,50
,,,,
2007上期,50,6.50,4,50.50
,,,,
2007下期,50.50,6.50,4,50.50
,,,,
2008上期,50,6,4,50.50
,,,,
2008下期,4.50,50.8,3.50,50
,,,,
2009上期,3.50,50,2.7,3.50
,,,,
2009下期,2.7,4,2.50,3
,,,,
2010上期,2.50,4,2.2,3
,,,,
2010下期,2.50,3.8,2,2.8
,,,,
2011上期,2.2,3.50,1.9,2.8
,,,,
2011下期,2.2,3.3,1.9,2.8
,,,,
2012上期,2.3,3.50,1.9,2.8
2012 9月,2.50,3.50,2,3.1
2012 12月,2.50,3.7,2.3,3
2013 3月,2.50,4,2.4,3.2
2013 6月,2.8,4,2.50,3.4
2013 9月,2.8,4,2.50,3.50
2013 12月,2.9,4,2.50,3.50
2014 3月,2.9,4.1,2.50,3.50
2014 6月,3,4.3,2.50,3.50
2014 9月,3,4.50,2.6,3.6
2014 12月,3,4.6,2.6,3.6
20150 3月,3,4.7,2.7,3.6
20150 6月,3.1,4.8,2.7,3.6
20150 9月,3.2,4.7,2.7,3.6
20150 12月,3.2,4.8,2.7,3.6
2016 3月,3.2,4.8,2.8,3.8
2016 6月,3.2,4.8,2.8,3.8
2016 9月,3.2,4.8,2.8,3.8
2016 12月,3.2,4.8,2.8,3.8
2017 3月,3.2,4.8,2.9,3.8
2017 6月,3.2,4.8,3,3.8
2017 9月,3.3,4.9,3.1,3.9
2017 12月,3.3,4.9,3.2,3.9
2018 3月,3.4,50,3.2,3.9
2018 6月,3.4,50,3.2,3.9
2018 9月,3.4,50,3.2,4
2018 12月,3.4,50,3.2,4
2019 3月,3.50,50.1,3.2,4
2019 6月,3.50,50.2,3.3,4
2019 9月,3.50,50.3,3.3,4
2019 12月,3.50,50.4,3.3,4.1
2020 3月,3.50,50.4,3.3,4.1
2020 6月,3.50,50.4,3.3,4.1
2020 9月,3.50,50.4,3.3,4
2020 12月,3.50,50.3,3.2,4
2021 3月,3.3,50.3,3.1,4
2021 6月,3,50.3,3,4
