rank,pref,rate
1,島根県,0.6089
2,山形県,0.6076
3,鳥取県,0.5888
4,三重県,0.5782
5,長野県,0.5772
6,岩手県,0.5753
7,山梨県,0.5665
8,秋田県,0.5619
9,新潟県,0.5582
10,奈良県,0.5554
11,石川県,0.5498
12,和歌山県,0.5494
13,福島県,0.5452
14,神奈川県,0.5447
15,北海道,0.5441
16,長崎県,0.5404
17,福井県,0.5378
18,東京都,0.5351
19,沖縄県,0.5343
20,大分県,0.5315
21,兵庫県,0.5302
22,岐阜県,0.5297
23,滋賀県,0.5296
24,大阪府,0.5272
25,愛知県,0.5265
平均,全国,0.5261
26,佐賀県,0.5251
27,熊本県,0.5230
28,香川県,0.5208
29,京都府,0.5205
30,群馬県,0.5175
31,埼玉県,0.5121
32,静岡県,0.5109
33,宮城県,0.5075
34,鹿児島県,0.5042
35,山口県,0.5035
36,富山県,0.5023
37,広島県,0.4999
38,高知県,0.4989
39,宮崎県,0.4982
40,栃木県,0.4969
41,茨城県,0.4966
42,愛媛県,0.4940
43,福岡県,0.4936
44,徳島県,0.4929
45,千葉県,0.4922
46,岡山県,0.4888
47,青森県,0.4625
