rank,pref,rate
1,山形県,0.6197
2,島根県,0.6048
3,長野県,0.5903
4,秋田県,0.5884
5,山梨県,0.5844
6,岩手県,0.5816
7,新潟県,0.5765
8,三重県,0.5731
9,北海道,0.5672
10,鳥取県,0.5650
11,大分県,0.5624
12,奈良県,0.5606
13,佐賀県,0.5560
14,岐阜県,0.5555
15,滋賀県,0.5554
16,東京都,0.5545
17,福島県,0.5537
18,静岡県,0.5517
19,石川県,0.5469
20,和歌山県,0.5436
21,福井県,0.5428
22,神奈川県,0.5402
23,長崎県,0.5402
24,愛知県,0.5400
平均,全国,0.5362
25,沖縄県,0.5359
26,山口県,0.5325
27,愛媛県,0.5305
28,熊本県,0.5277
29,鹿児島県,0.5258
30,兵庫県,0.5222
31,宮城県,0.5193
32,群馬県,0.5190
33,富山県,0.5186
34,茨城県,0.5183
35,大阪府,0.5181
36,埼玉県,0.5170
37,香川県,0.5168
38,京都府,0.5161
39,千葉県,0.5099
40,福岡県,0.5074
41,栃木県,0.5028
42,広島県,0.5019
43,岡山県,0.5013
44,青森県,0.4998
45,高知県,0.4976
46,宮崎県,0.4958
47,徳島県,0.4777
