,セリア,キャンドゥ,ワッツ
2022年2月,92.4 ,93.9 ,95.8 
2022年1月,95.2 ,96.0 ,97.1 
2021年12月,96.2 ,97.4 ,95.2 
2021年11月,97.5 ,98.6 ,95.6 
2021年10月,101.2 ,100.8 ,98.6 
2021年9月,102.4 ,97.8 ,97.5 
2021年8月,98.7 ,95.5 ,93.5 
2021年7月,97.3 ,98.6 ,93.9 
2021年6月,93.0 ,93.8 ,91.0 
2021年5月,98.5 ,91.1 ,89.7 
2021年4月,107.2 ,94.4 ,87.2 
2021年3月,98.9 ,98.3 ,91.3 
2021年2月,97.1 ,91.7 ,88.5 
2021年1月,108.7 ,101.6 ,102.6 
2020年12月,103.7 ,101.8 ,103.6 
2020年11月,105.9 ,100.1 ,103.2 
2020年10月,107.2 ,102.4 ,105.3 
2020年9月,97.7 ,94.4 ,96.7 
2020年8月,106.5 ,101.3 ,105.0 
2020年7月,105.3 ,100.5 ,106.2 
2020年6月,109.8 ,104.6 ,110.0 
2020年5月,108.3 ,113.0 ,116.0 
2020年4月,97.3 ,105.2 ,116.0 
2020年3月,102.8 ,98.8 ,108.9 
2020年2月,109.1 ,109.6 ,117.0 
2020年1月,99.1 ,100.8 ,102.8 
2019年12月,98.6 ,98.8 ,100.2 
2019年11月,97.7 ,97.9 ,100.4 
2019年10月,93.6 ,93.7 ,96.6 
2019年9月,102.2 ,104.4 ,104.7 
2019年8月,99.5 ,99.3 ,101.0 
2019年7月,97.3 ,97.8 ,97.5 
2019年6月,97.6 ,98.3 ,98.1 
2019年5月,98.7 ,97.0 ,99.7 
2019年4月,97.2 ,97.5 ,97.7 
2019年3月,101.7 ,100.5 ,101.1 
2019年2月,101.5 ,99.9 ,100.3 
2019年1月,100.5 ,99.8 ,100.3 
