label,data1,data2,data3,data4
,ユニクロ,無印良品,しまむら,ワークマン
2022年1月,92.9,97.4,110.7,101.2
2021年12月,88.9,98.3,101.6,98.4
2021年11月,95.4,100.1,104.7,104.5
2021年10月,95.2,90.4,90.5,98.9
2021年9月,80.9,94.8,107.0,102.7
2021年8月,61.1,90.1,94.3,94.2
2021年7月,100.1,98.8,103.9,105.4
2021年6月,80.8,85.2,92.5,82.5
2021年5月,99.4,91.4,131.2,110.4
2021年4月,184.5,141.3,145.2,124.5
2021年3月,140.2,115.0,124.6,111.3
2021年2月,100.4,126.9,102.2,96.3
2021年1月,102.0,130.4,107.6,110.4
2020年12月,106.2,109.4,111.3,106.1
2020年11月,100.5,93.4,111.3,100.8
2020年10月,116.2,101.0,120.7,134.5
2020年9月,110.0,98.9,111.1,109.6
2020年8月,129.8,110.5,95.5,110.9
2020年7月,104.4,114.8,109.1,121.4
2020年6月,126.2,109.5,127.0,137.2
2020年5月,81.9,69.7,76.6,119.4
2020年4月,43.5,52.4,71.9,105.7
2020年3月,72.2,85.4,87.9,117.7
2020年2月,100.8,103.7,95.4,127.3
2020年1月,92.1,96.3,90.1,121.1
2019年12月,94.7,109.8,91.0,128.7
2019年11月,94.5,100.9,98.7,124.1
2019年10月,98.1,106.2,91.3,123.8
2019年9月,95.8,122.9,95.6,116.1
2019年8月,109.9,111.9,100.6,154.7
2019年7月,90.0,100.3,82.5,116.3
2019年6月,127.3,106.7,97.9,135.8
2019年5月,98.2,104.9,99.2,131.6
2019年4月,98.3,100.1,88.9,117.5
2019年3月,104.5,101.8,97.7,114.1
2019年2月,103.0,103.9,97.0,111.9
2019年1月,99.0,103.6,99.9,114.0
