label,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10
,ウエルシアHD,ツルハHD,コスモス薬品,サンドラッグ,マツモトキヨシ,スギHD,ココカラファイン,クリエイトSD,クスリのアオキHD,カワチ薬品
2019年1月,106.9,101.5,99.8,100.6,98.6,102.5,98.4,99.2,106.5,94.4
2月,103.9,101.7,100.7,99.4,98.3,101.0,97.9,99.0,102.2,98.5
3月,105.0,102.2,101.2,101.0,99.3,100.2,98.2,100.4,101.1,100.7
4月,106.0,100.8,101.3,98.1,95.8,102.7,98.1,98.7,98.4,97.8
5月,106.7,103.1,101.9,101.0,98.2,104.6,99.7,103.1,102.1,97.5
6月,104.9,102.3,101.4,101.1,98.1,103.7,100.0,100.2,105.5,96.2
7月,101.8,101.2,98.5,95.8,95.7,101.4,96.0,98.2,102.8,97.7
8月,107.3,102.2,102.1,102.4,99.6,104.1,100.9,103.6,107.9,101.0
9月,119.4,105.3,116.5,129.0,121.8,123.3,119.3,121.6,112.9,103.6
10月,97.5,114.4,95.3,86.4,87.5,95.7,86.8,92.9,118.5,118.5
11月,102.5,95.5,103.2,97.5,98.8,101.8,96.2,99.2,103.0,90.9
12月,104.5,101.6,101.2,96.9,100.6,100.1,97.3,100.2,100.4,97.6
2020年1月,104.1,99.7,101.6,99.8,103.4,105.3,101.4,101.5,101.7,99.0
2月,120.6,107.1,111.3,113.7,108.0,120.9,109.9,119.8,112.2,104.5
3月,106.1,114.5,106.8,100.4,89.4,106.9,93.1,106.1,117.2,113.4
4月,108.2,103.6,117.5,101.7,87.5,111.9,92.2,115.7,114.1,115.7
5月,105.0,104.1,115.2,106.6,86.3,107.3,90.5,104.5,105.1,109.9
6月,106.6,107.3,110.5,107.0,90.6,105.3,95.1,103.3,100.3,112.3
7月,104.2,103.6,107.7,103.5,93.8,102.5,96.7,108.3,100.2,106.9
8月,110.3,104.8,112.7,107.5,98.2,108.8,99.7,108.3,96.1,101.6
9月,93.7,103.7,97.5,84.1,78.4,87.6,82.2,89.0,92.6,103.1
10月,110.5,92.5,112.5,118.1,104.4,109.3,103.8,111.7,84.8,90.0
11月,107.9,109.8,107.8,112.2,95.8,105.4,95.8,106.6,95.4,113.1
12月,105.3,105.3,107.6,106.0,93.3,108.8,93.8,105.1,97.1,107.7
2021年1月,102.2,105.8,107.1,105.8,88.4,103.7,88.4,105.1,98.4,106.6
2月,92.2,95.4,93.2,90.7,83.2,97.0,82.5,88.3,84.6,98.0
3月,101.8,89.6,95.9,97.4,98.9,100.1,92.3,95.5,81.7,93.0
4月,98.7,98.8,88.7,97.6,101.6,96.6,95.8,90.4,83.9,89.2
5月,104.3,98.8,94.0,99.3,102.9,98.3,98.8,96.6,93.6,97.6
6月,102.3,97.7,95.8,98.4,100.8,99.7,94.0,100.8,93.2,96.2
7月,104.1,99.2,100.5,102.2,96.8,102.6,94.0,96.9,93.8,96.4
8月,100.7,99.4,96.3,97.2,94.3,98.5,92.9,99.6,94.9,99.5
9月,102.3,100.1,98.2,98.5,97.0,101.4,95.7,100.8,97.9,98.9
10月,102.7,100.0,103.6,101.0,94.9,100.9,98.4,99.6,103.0,98.9
11月,102.8,97.7,98.7,95.8,91.8,101.0,95.4,95.4,96.7,98.5
12月,101.3,98.6,99.1,97.7,94.3,99.0,96.6,98.6,98.6,97.6
2022年1月,107.5,97.5,101.8,99.0,99.0,98.6,100.3,100.6,97.2,96.6
