label,data1,data2,data3
,マクドナルド,モスバーガー,ケンタッキーフライドチキン
2022年1月,101.2,113.7,110.6
2021年12月,102.4,98.5,104.8
2021年11月,105.4,97.5,97.3
2021年10月,113.4,115.1,102.2
2021年9月,114.7,117.3,120.9
2021年8月,105.3,111.5,103.7
2021年7月,121.0,113.4,99.6
2021年6月,114.7,111.0,108.2
2021年5月,105.7,120.5,104.4
2021年4月,109.2,112.6,90.9
2021年3月,107.5,109.3,114.5
2021年2月,101.0,110.0,107.6
2021年1月,118.7,108.9,110.5
2020年12月,107.2,114.2,100.8
2020年11月,109.6,123.5,118.7
2020年10月,110.7,107.7,112.2
2020年9月,106.3,100.3,104.8
2020年8月,112.4,102.9,113.6
2020年7月,101.0,106.6,127.3
2020年6月,96.8,106.2,99.0
2020年5月,115.2,112.2,137.6
2020年4月,106.5,103.7,133.1
2020年3月,99.9,100.9,108.2
2020年2月,114.7,115.9,112.8
2020年1月,102.6,108.7,108.5
2019年12月,102.1,108.1,104.4
2019年11月,102.7,112.6,117.6
2019年10月,104.3,114.0,108.3
2019年9月,110.6,116.6,104.8
2019年8月,104.7,103.0,106.9
2019年7月,104.1,93.4,103.6
2019年6月,106.3,100.0,124.1
2019年5月,103.1,98.5,116.5
2019年4月,102.9,94.2,115.1
2019年3月,105.7,102.3,110.7
2019年2月,103.3,96.0,114.7
2019年1月,103.6,89.2,104.2
