label,data1,data2,data3,data4
,ニトリ,DCM,コメリ,コーナン
2019年1月,107.9,93.9,94.0,101.0
2月,98.9,97.0,96.0,100.2
3月,105.4,96.5,95.4,100.8
4月,103.9,94.1,94.8,99.1
5月,105.7,102.2,104.1,107.1
6月,105.9,96.5,97.3,100.6
7月,94.4,90.8,92.7,93.6
8月,108.9,103.1,102.7,106.4
9月,119.5,108.9,117.8,109.7
10月,113.1,89.1,88.2,92.0
11月,93.1,94.2,95.8,100.0
12月,92.7,91.8,92.1,98.2
2020年1月,97.1,95.7,94.9,101.1
2月,101.6,106.5,106.9,112.6
3月,110.9,104.2,104.0,109.1
4月,96.0,105.9,108.4,112.4
5月,100.8,115.6,117.5,121.7
6月,147.5,119.4,120.1,115.7
7月,122.7,111.7,108.9,113.8
8月,115.0,111.9,113.7,118.3
9月,98.5,88.4,89.4,91.9
10月,102.0,111.7,115.3,112.9
11月,113.5,107.1,103.8,108.8
12月,119.4,111.9,110.2,111.6
2021年1月,96.6,117.5,116.5,115.8
2月,110.3,100.7,102.6,101.7
3月,94.2,99.9,103.5,100.7
4月,102.3,99.2,100.3,98.3
5月,96.4,92.3,88.9,94.9
6月,79.5,90.2,91.0,94.6
7月,76.7,99.0,100.4,99.1
8月,81.5,87.4,86.5,88.5
9月,99.7,99.1,98.1,100.7
10月,83.2,100.2,100.7,101.3
11月,93.3,95.5,99.8,98.5
12月,89.9,95.1,96.9,95.8
2022年1月,102.5,96.9,98.4,97.3
