label,data1,data2,data3
,吉野家,すき家,松屋
2019年1月,96.7,103.7,102.2
2月,92.6,103.0,100.7
3月,108.1,103.8,104.3
4月,104.8,104.8,104.5
5月,105.2,104.0,104.4
6月,107.1,103.3,104.0
7月,102.6,98.6,107.4
8月,113.9,103.5,106.1
9月,104.6,103.9,107.0
10月,108.2,100.8,103.6
11月,107.3,103.1,104.2
12月,111.3,102.8,106.6
2020年1月,109.5,101.9,106.4
2月,97.9,110.0,115.5
3月,98.2,92.2,94.8
4月,96.0,88.1,77.8
5月,92.7,90.8,77.8
6月,87.7,91.3,83.3
7月,94.3,102.7,88.4
8月,83.2,98.8,87.6
9月,90.8,98.4,85.3
10月,100.4,104.9,97.1
11月,93.4,100.5,91.1
12月,88.8,101.3,91.0
2021年1月,90.5,99.8,84.9
2月,82.9,92.1,81.0
3月,89.5,104.6,91.6
4月,89.9,114.2,108.9
5月,99.4,118.1,112.2
6月,99.6,108.9,98.8
7月,95.9,108.7,95.5
8月,107.3,100.5,96.1
9月,102.2,103.0,93.0
10月,98.7,105.4,89.7
11月,108.7,104.6,99.1
12月,107.4,118.2,96.5
2022年1月,104.0,110.9,100.2
