label,data1,data2,data3
,すかいらーくグループ,ロイヤルホスト,サイゼリヤ
2019年1月,102.4,103.0,97.7
2月,103.3,104.7,98.5
3月,103.1,105.4,99.3
4月,101.2,100.5,96.4
5月,104.2,104.4,100.4
6月,101.8,103.4,100.3
7月,95.7,95.4,96.5
8月,102.7,104.6,100.5
9月,101.5,107.8,100.6
10月,92.5,100.1,91.4
11月,100.7,111.0,98.9
12月,95.6,104.9,99.5
2020年1月,97.6,103.8,105.1
2月,99.6,103.9,106.6
3月,76.1,79.7,78.5
4月,41.8,42.1,38.6
5月,52.2,54.2,47.8
6月,69.4,78.2,66.5
7月,73.6,86.1,72.9
8月,73.2,81.2,71.5
9月,78.3,83.5,77.3
10月,88.4,95.3,90.1
11月,85.1,90.8,84.0
12月,78.1,79.8,75.2
2021年1月,66.5,69.5,62.0
2月,70.9,76.4,67.1
3月,93.7,103.2,91.3
4月,164.6,191.6,192.3
5月,128.6,148.8,139.7
6月,92.5,99.7,98.9
7月,100.3,97.2,101.1
8月,83.3,85.9,83.4
9月,79.3,85.0,76.7
10月,92.9,100.2,98.7
11月,95.3,105.9,104.6
12月,114.4,118.0,115.8
2022年1月,115.8,140.6,125.3
