label,data1,data2,data3
,すかいらーくグループ,ロイヤルホスト,サイゼリヤ
2022年1月,115.8,140.6,125.3
2021年12月,114.4,118.0,115.8
2021年11月,95.3,105.9,104.6
2021年10月,92.9,100.2,98.7
2021年9月,79.3,85.0,76.7
2021年8月,83.3,85.9,83.4
2021年7月,100.3,97.2,101.1
2021年6月,92.5,99.7,98.9
2021年5月,128.6,148.8,139.7
2021年4月,164.6,191.6,192.3
2021年3月,93.7,103.2,91.3
2021年2月,70.9,76.4,67.1
2021年1月,66.5,69.5,62.0
2020年12月,78.1,79.8,75.2
2020年11月,85.1,90.8,84.0
2020年10月,88.4,95.3,90.1
2020年9月,78.3,83.5,77.3
2020年8月,73.2,81.2,71.5
2020年7月,73.6,86.1,72.9
2020年6月,69.4,78.2,66.5
2020年5月,52.2,54.2,47.8
2020年4月,41.8,42.1,38.6
2020年3月,76.1,79.7,78.5
2020年2月,99.6,103.9,106.6
2020年1月,97.6,103.8,105.1
2019年12月,95.6,104.9,99.5
2019年11月,100.7,111.0,98.9
2019年10月,92.5,100.1,91.4
2019年9月,101.5,107.8,100.6
2019年8月,102.7,104.6,100.5
2019年7月,95.7,95.4,96.5
2019年6月,101.8,103.4,100.3
2019年5月,104.2,104.4,100.4
2019年4月,101.2,100.5,96.4
2019年3月,103.1,105.4,99.3
2019年2月,103.3,104.7,98.5
2019年1月,102.4,103.0,97.7
