label,data1,data2,data3,data4
,青山商事,AOKIHD,はるやまHD,コナカ
2019年1月,98.5,100.0,94.9,96.1
2月,99.3,95.0,100.0,96.8
3月,104.2,99.4,102.1,104.1
4月,88.0,88.2,88.8,85.5
5月,97.1,96.3,100.0,93.7
6月,95.9,102.3,100.9,96.9
7月,87.5,88.2,89.5,86.2
8月,100.2,106.3,103.8,100.7
9月,103.0,113.0,114.3,101.0
10月,72.1,73.4,82.8,80.1
11月,82.2,88.5,94.5,97.9
12月,83.1,89.7,96.2,94.6
2020年1月,82.3,93.7,100.5,95.7
2月,85.8,109.4,110.6,101.8
3月,58.8,67.1,75.6,67.2
4月,31.7,62.8,43.4,28.2
5月,42.2,72.7,57.1,40.5
6月,65.2,96.1,80.9,70.4
7月,70.8,91.4,80.4,77.6
8月,67.0,84.7,75.7,72.9
9月,58.7,74.2,58.2,64.8
10月,98.8,118.5,96.9,92.3
11月,93.5,96.6,79.0,80.0
12月,76.8,80.8,81.3,77.7
2021年1月,68.8,74.0,64.5,59.5
2月,76.3,80.9,73.9,67.4
3月,118.7,133.1,105.3,111.5
4月,211.8,135.5,167.8,281.2
5月,146.6,103.0,104.6,165.7
6月,95.5,78.3,82.4,94.8
7月,106.3,94.8,96.4,98.3
8月,96.1,84.8,84.8,87.1
9月,99.9,87.8,89.7,93.1
10月,103.7,101.9,96.9,101.9
11月,106.2,100.1,101.0,104.8
12月,118.9,121.5,109.1,118.6
2022年1月,120.7,127.4,109.4,130.7
