label,data1,data2,data3,data4
,青山商事,AOKIHD,はるやまHD,コナカ
2022年1月,120.7,127.4,109.4,130.7
2021年12月,118.9,121.5,109.1,118.6
2021年11月,106.2,100.1,101.0,104.8
2021年10月,103.7,101.9,96.9,101.9
2021年9月,99.9,87.8,89.7,93.1
2021年8月,96.1,84.8,84.8,87.1
2021年7月,106.3,94.8,96.4,98.3
2021年6月,95.5,78.3,82.4,94.8
2021年5月,146.6,103.0,104.6,165.7
2021年4月,211.8,135.5,167.8,281.2
2021年3月,118.7,133.1,105.3,111.5
2021年2月,76.3,80.9,73.9,67.4
2021年1月,68.8,74.0,64.5,59.5
2020年12月,76.8,80.8,81.3,77.7
2020年11月,93.5,96.6,79.0,80.0
2020年10月,98.8,118.5,96.9,92.3
2020年9月,58.7,74.2,58.2,64.8
2020年8月,67.0,84.7,75.7,72.9
2020年7月,70.8,91.4,80.4,77.6
2020年6月,65.2,96.1,80.9,70.4
2020年5月,42.2,72.7,57.1,40.5
2020年4月,31.7,62.8,43.4,28.2
2020年3月,58.8,67.1,75.6,67.2
2020年2月,85.8,109.4,110.6,101.8
2020年1月,82.3,93.7,100.5,95.7
2019年12月,83.1,89.7,96.2,94.6
2019年11月,82.2,88.5,94.5,97.9
2019年10月,72.1,73.4,82.8,80.1
2019年9月,103.0,113.0,114.3,101.0
2019年8月,100.2,106.3,103.8,100.7
2019年7月,87.5,88.2,89.5,86.2
2019年6月,95.9,102.3,100.9,96.9
2019年5月,97.1,96.3,100.0,93.7
2019年4月,88.0,88.2,88.8,85.5
2019年3月,104.2,99.4,102.1,104.1
2019年2月,99.3,95.0,100.0,96.8
2019年1月,98.5,100.0,94.9,96.1
