ID,name,ytFollower,ytCount,ytRate,,igFollower,igCount,igRate,,twFollower,twCount,twRate,
145,前澤友作,,,,,,,,,10595340,154369,1.457,0.01457
4,BTS JAPAN OFFICIAL,,,,,,,,,8591083,168623,1.963,0.01963
130,松本人志,,,,,,,,,7947791,129776,1.633,0.01633
172,有吉弘行,,,,,,,,,7481413,13601,0.182,0.00182
41,きゃりーぱみゅぱみゅ,,,,,,,,,5214262,9057,0.174,0.00174
58,はじめしゃちょー(hajime),8940000,1880172,21.03,0.2103,,,,,4527828,12759,0.282,0.00282
85,ローラ,,,,,6340190,106380,1.68,0.0168,4326143,10118,0.234,0.00234
108,広瀬すず,,,,,2646117,264681,10,0.1,3968842,25317,0.638,0.00638
64,ヒカキン（HikakinTV）,8700000,2445799,28.11,0.2811,,,,,3585384,15836,0.442,0.00442
168,堀江貴文,,,,,,,,,3520627,296,0.008,0.00008
101,橋本環奈,,,,,,,,,3396484,55011,1.62,0.0162
118,三村マサカズ,,,,,,,,,3366885,6502,0.193,0.00193
139,菅田将暉,,,,,,,,,3313678,53729,1.621,0.01621
156,田村淳,,,,,,,,,3143482,6475,0.206,0.00206
124,指原莉乃,,,,,,,,,3116792,11362,0.365,0.00365
129,小嶋陽菜,,,,,2696888,29299,1.09,0.0109,3114879,5509,0.177,0.00177
97,吉高由里子,,,,,,,,,3111073,31933,1.026,0.01026
89,宇多田ヒカル,,,,,,,,,3055211,22935,0.751,0.00751
119,三代目 J Soul Brothers,,,,,,,,,2992680,15345,0.513,0.00513
146,孫正義,,,,,,,,,2773061,24294,0.876,0.00876
99,宮迫博之,,,,,,,,,2728119,2059,0.075,0.00075
163,藤田ニコル,,,,,3607028,95364,2.64,0.0264,2714072,6264,0.231,0.00231
160,登坂広臣,,,,,2010954,211605,10.52,0.1052,2673702,41305,1.545,0.01545
100,橋下徹,,,,,,,,,2622345,3304,0.126,0.00126
167,米津玄師,5530000,22803358,412.36,4.1236,,,,,2528989,91692,3.626,0.03626
48,ダルビッシュ有(Yu Darvish),,,,,,,,,2489785,4586,0.184,0.00184
126,篠田麻里子,,,,,,,,,2439954,2282,0.094,0.00094
26,嵐,3030000,2520919,83.2,0.832,4259953,430357,10.1,0.101,2412357,102906,4.266,0.04266
125,糸井重里,,,,,,,,,2325499,281,0.012,0.00012
88,安倍晋三,,,,,,,,,2310095,38358,1.66,0.0166
122,山本彩,,,,,,,,,2286627,4570,0.2,0.002
95,岩田剛典,,,,,2762278,255155,9.24,0.0924,2219023,41060,1.85,0.0185
98,宮川大輔,,,,,,,,,2210709,1325,0.06,0.0006
69,ブライアン,2560000,2105971,82.26,0.8226,,,,,2182616,32368,1.483,0.01483
164,徳井義実,,,,,,,,,2181877,1980,0.091,0.00091
166,板野友美,,,,,,,,,2091261,2504,0.12,0.0012
93,河野太郎,,,,,,,,,2084476,23414,1.123,0.01123
49,ダレノガレ明美,,,,,,,,,2072203,5838,0.282,0.00282
144,前田敦子,,,,,,,,,2045336,,0,0
159,渡辺直美,,,,,9442736,325096,3.44,0.0344,,,,
135,水原希子,,,,,5651876,58005,1.03,0.0103,,,,
120,山下智久,,,,,5035974,1036138,20.57,0.2057,,,,
112,佐々木希,,,,,4404104,97846,2.22,0.0222,,,,
132,新木優子,,,,,4133113,188056,4.55,0.0455,,,,
123,山﨑賢人,,,,,3907788,332822,8.52,0.0852,,,,
105,近藤麻理恵,,,,,3855911,33298,0.86,0.0086,,,,
173,有村架純,,,,,3759943,213941,5.69,0.0569,,,,
134,深田恭子,,,,,3690184,344203,9.33,0.0933,,,,
107,戸田恵梨香,,,,,3636880,226840,6.24,0.0624,,,,
103,桐谷美玲,,,,,3596875,239919,6.67,0.0667,,,,
90,永野芽郁,,,,,3423046,444983,13,0.13,,,,
77,ムロツヨシ,,,,,3287470,189366,5.76,0.0576,,,,
16,Koki,,,,,3269431,153257,4.69,0.0469,,,,
111,今田美桜,,,,,3243321,350103,10.79,0.1079,,,,
121,山田孝之,,,,,3234289,76431,2.36,0.0236,,,,
