T_Key,label,attribute,sex,x,y,cluster
6,aiko,歌手・ミュージシャン,F,72.5,67.7,今旬
9,相葉雅紀（嵐）,俳優,M,87.6,72.5,今旬
13,蒼井優,俳優,F,71.5,70.9,今旬
17,明石家さんま,お笑いタレント,M,93.3,71.2,今旬
25,浅田真央,著名人,F,86.4,67.5,今旬
28,浅野忠信,俳優,M,62.4,64.9,今旬
31,安住紳一郎,キャスター,M,77.5,76,今旬
37,阿部サダヲ,俳優,M,77.5,73.5,今旬
40,阿部寛,俳優,M,82.1,80.3,今旬
41,天海祐希,俳優,F,79.1,77.7,今旬
43,雨上がり決死隊,お笑いタレント,M,77.2,52.5,大御所＆安定
45,綾瀬はるか,俳優,F,90,84,今旬
47,綾小路きみまろ,お笑いタレント,M,78.5,57.2,大御所＆安定
48,新垣結衣,俳優,F,86.2,85.3,今旬
50,有田哲平（くりぃむしちゅー）,お笑いタレント,M,83.3,71.4,今旬
55,アンタッチャブル,お笑いタレント,M,75,75,今旬
64,生田斗真,俳優,M,73.9,79.1,今旬
65,池脇千鶴,俳優,F,50.1,68.1,注目
72,石田純一,タレント,M,81.5,28.7,大御所＆安定
73,石田ゆり子,俳優,F,74.5,80.5,該当なし
74,石塚英彦（ホンジャマカ）,お笑いタレント,M,78.4,60.7,今旬
75,石橋貴明（とんねるず）,お笑いタレント,M,82.6,54.5,大御所＆安定
78,石原さとみ,俳優,F,89.7,73.7,今旬
84,市川海老蔵,俳優,M,83.1,56.9,
92,イチロー,著名人,M,89.2,69.6,今旬
97,伊藤淳史,俳優,M,57.3,67.8,今旬
102,稲垣吾郎,俳優,M,79.2,64.1,今旬
104,井上真央,俳優,F,72.8,72.9,今旬
107,井ノ原快彦（V６）,俳優,M,82.2,73.5,今旬
111,今田耕司,お笑いタレント,M,83.6,63.6,今旬
119,上田晋也（くりぃむしちゅー）,お笑いタレント,M,85.8,71.4,今旬
120,上田竜也（KAT-TUN）,俳優,M,62.9,62.9,注目
122,上野樹里,俳優,F,70.8,75.7,今旬
125,ウエンツ瑛士,俳優,M,80.7,61.9,今旬
132,内野聖陽,俳優,M,49.1,73.5,注目
133,内村光良（ウッチャンナンチャン）,お笑いタレント,M,86.9,78.1,今旬
135,有働由美子,キャスター,F,64.3,69.3,注目
138,永山瑛太,俳優,M,38.6,77.2,NEXTブレイク
140,江川卓,スポーツ解説者,M,64.6,52.3,大御所＆安定
141,EXILE,歌手・ミュージシャン,M,58.3,56.2,注目
142,江口洋介,俳優,M,77.4,69.1,今旬
152,遠藤憲一,俳優,M,76.1,79.6,
153,遠藤章造（ココリコ）,お笑いタレント,M,79.1,57.4,
157,大泉洋,俳優,M,87,78.6,今旬
162,大下容子,キャスター,F,37.9,72.7,NEXTブレイク
167,太田光（爆笑問題）,お笑いタレント,M,87.4,59,今旬
173,大野智（嵐）,俳優,M,87.5,70.5,今旬
178,岡田准一（V６）,俳優,M,80.5,73.6,今旬
179,緒形直人,俳優,M,52.4,64.9,注目
180,岡村隆史（ナインティナイン）,お笑いタレント,M,90.9,63.1,今旬
185,おぎやはぎ,お笑いタレント,M,80.1,67,今旬
186,奥田瑛二,俳優,M,51.7,57.8,
187,小倉智昭,キャスター,M,68.8,41.7,大御所＆安定
189,小倉弘子,キャスター,F,19,67,NEXTブレイク
191,小栗旬,俳優,M,84.7,75.2,
199,オダギリジョー,俳優,M,70.4,67.6,今旬
200,織田裕二,俳優,M,78.6,62.8,今旬
208,香川照之,俳優,M,82.8,75.9,今旬
209,GACKT,歌手・ミュージシャン,M,83.5,60.9,今旬
210,筧利夫,俳優,M,59.3,59.7,注目
