rank,categoryRank,brandNameJapanese,website,absoluteGrowthRate,compoundAnnualGrowthRate,Revenue2020,foundingYear,prefecture
1,1,ピクシーダストテクノロジーズ株式会社,https://pixiedusttech.com,41.4319,2.4879,487246000,2017,東京都
2,2,TableCheck Inc.,https://www.tablecheck.com/ja/company/,27.9467,2.0704,928359957,2011,東京都
3,1,Reqrea Inc.,https://reqrea.co.jp,24.8507,1.9568,359034229,2016,福岡県
4,3,AI inside 株式会社,https://inside.ai,15.4521,1.5434,4597295000,2015,東京都
5,4,株式会社ヤマップ,https://corporate.yamap.co.jp,13.7725,1.4537,769244395,2013,福岡県
6,1,Harch Inc.,https://harch.jp,13.1373,1.418,553291919,2015,東京都
7,1,アイグッズ株式会社,https://www.i-goods.co.jp,13.0315,1.412,3204568786,2016,東京都
8,1,KALEIDO JAPAN INC.,https://kaleidojapan.com,12.5074,1.3815,581456387,2011,東京都
9,1,株式会社closip,https://www.closip.co.jp,11.7032,1.3333,152438000,2016,東京都
10,5,株式会社NKC ASIA,https://www.nkc-asia.com,10.0516,1.2275,4048733232,2015,東京都
11,2,Stay Gold,https://www.stayg.jp,9.2379,1.1714,1003380000,2010,東京都
12,3,GATES Inc.,https://gatestokyo.co.jp,8.3657,1.1079,9457513897,2012,東京都
13,1,株式会社トラーナ/トイサブ！,https://torana.co.jp,7.3935,1.0323,123615230,2015,東京都
14,1,プロジェクトカンパニー,https://projectcompany.co.jp/,7.328,1.027,1104923000,2016,東京都
15,2,株式会社SoLabo,https://so-labo.co.jp,7.0378,1.0031,512784862,2015,東京都
16,1,AirX,https://airx.co.jp,6.7445,0.9785,153929685,2015,東京都
17,1,株式会社シューマツワーカー,https://company.shuuumatu-worker.jp,6.0428,0.9168,930616096,2016,東京都
18,2,株式会社クジラテラス,https://kuji-ra.com,5.754,0.8903,343934828,2017,岩手県
19,1,株式会社フードフォース,http://www.foodforce.nagoya,5.53,0.8691,283493646,2015,愛知県
20,2,ユナイテッドシルク株式会社,https://united-silk.co.jp,5.5227,0.8684,542284353,2016,愛媛県
21,4,株式会社sumarch,https://sumarch.co.jp,5.467,0.8631,3736220276,2009,愛知県
22,2,株式会社Amazia,https://amazia.co.jp,5.4253,0.8591,7524525450,2009,東京都
23,5,"GA technologies Co., Ltd.",https://www.ga-tech.co.jp/,5.3783,0.8545,60957000000,2013,東京都
24,1,日本3Dプリンター株式会社,https://3dprinter.co.jp,5.2235,0.8394,731802846,2013,東京都
25,6,株式会社リブ・ゲート,https://live-gate.co.jp,4.6153,0.7774,693784011,2016,大阪府
26,2,株式会社Progate,https://prog-8.com/,4.6067,0.7765,727024480,2014,東京都
27,3,株式会社ビーライトネオ,http://b-lightgroup.co.jp,4.5292,0.7683,2830413922,2016,愛知県
28,3,North Star Management株式会社,https://northstar.co.jp,4.4414,0.7589,587576668,2016,東京都
29,1,株式会社　縁人,https://縁人.jp,4.2939,0.7428,604233785,2007,東京都
30,1,株式会社ハーバルアイ,https://www.herbal-i.co.jp/,4.1103,0.7225,856467640,2015,福岡県
31,1,株式会社リアライズコーポレーション,https://www.realizecorp.co.jp,3.9862,0.7084,25387387661,2005,東京都
32,6,株式会社GIG,https://giginc.co.jp,3.9793,0.7076,525391514,2016,東京都
33,7,株式会社リードエッジコンサルティング,https://leadedge-c.com,3.8969,0.6981,159735745,2014,東京都
