rank,categoryRank,brandNameJapanese,website,absoluteGrowthRate,compoundAnnualGrowthRate,Revenue2020,foundingYear,prefecture
1,26,ピクシーダストテクノロジーズ株式会社,https://pixiedusttech.com,4143.2%,248.8%,487246000 ,2017,東京都
2,12,Reqrea Inc.,https://reqrea.co.jp,2485.1%,195.7%,359034229 ,2016,福岡県
3,6,AI inside 株式会社,https://inside.ai,1545.2%,154.3%,4597295000 ,2015,東京都
4,19,株式会社ヤマップ,https://corporate.yamap.co.jp,1377.2%,145.4%,769244395 ,2013,福岡県
5,2,Harch Inc.,https://harch.jp,1313.7%,141.8%,553291919 ,2015,東京都
6,1,アイグッズ株式会社,https://www.i-goods.co.jp,1303.2%,141.2%,3204568786 ,2016,東京都
7,3,KALEIDO JAPAN INC.,https://kaleidojapan.com,1250.7%,138.2%,581456387 ,2011,東京都
8,1,株式会社closip,https://www.closip.co.jp,1170.3%,133.3%,152438000 ,2016,東京都
9,8,株式会社NKC ASIA,https://www.nkc-asia.com,1005.2%,122.7%,4048733232 ,2015,東京都
10,10,Stay Gold,https://www.stayg.jp,923.8%,117.1%,1003380000 ,2010,東京都
11,4,GATES Inc.,https://gatestokyo.co.jp,836.6%,110.8%,9457513897 ,2012,東京都
12,3,株式会社トラーナ/トイサブ！,https://torana.co.jp,739.4%,103.2%,123615230 ,2015,東京都
13,3,プロジェクトカンパニー,https://projectcompany.co.jp/,732.8%,102.7%,1104923000 ,2016,東京都
14,8,株式会社SoLabo,https://so-labo.co.jp,703.8%,100.3%,512784862 ,2015,東京都
15,1,AirX,https://airx.co.jp,674.4%,97.8%,153929685 ,2015,東京都
16,2,株式会社シューマツワーカー,https://company.shuuumatu-worker.jp,604.3%,91.7%,930616096 ,2016,東京都
17,5,株式会社クジラテラス,https://kuji-ra.com,575.4%,89.0%,343934828 ,2017,岩手県
18,3,株式会社フードフォース,http://www.foodforce.nagoya,553.0%,86.9%,283493646 ,2015,愛知県
19,5,ユナイテッドシルク株式会社,https://united-silk.co.jp,552.3%,86.8%,542284353 ,2016,愛媛県
