順位,会社名,website,所在地,業種,年平均成長率,20年度の売上高（百万円）,17年度の売上高（百万円）,20年度の従業員数,17年度の従業員数,創業年,上場・非上場の区別（○は上場企業）,,,,,
1,ピクシーダストテクノロジーズ,https://pixiedusttech.com,東京都,学術研究・専門・技術サービス業,248.80%,487.2 ,11.5 ,61,4,2017,×,,,,,
2,リクリエ,https://reqrea.co.jp,福岡県,不動産業・物品賃貸業,195.70%,359.0 ,13.9 ,34,5,2016,×,,,,,
3,AI inside ,https://inside.ai,東京都,情報通信業,154.30%,4597.3 ,279.4 ,102,30,2015,〇,,,,,
4,ヤマップ,https://corporate.yamap.co.jp,福岡県,情報通信業,145.40%,769.2 ,52.1 ,65,22,2013,×,,,,,
5,ハーチ,https://harch.jp,東京都,情報通信業,141.80%,553.3 ,39.1 ,29,11,2015,×,,,,,
6,アイグッズ,https://www.i-goods.co.jp,東京都,製造業,141.20%,3204.6 ,228.4 ,30,6,2016,×,,,,,
7,カレイドジャパン,https://kaleidojapan.com,東京都,建設業,138.20%,581.5 ,43.0 ,10,6,2011,×,,,,,
8,closip,https://www.closip.co.jp,東京都,情報通信業,133.30%,152.4 ,12.0 ,12,2,2016,×,,,,,
9,NKC ASIA,https://www.nkc-asia.com,東京都,情報通信業,122.70%,4048.7 ,366.3 ,90,13,2015,×,,,,,
10,ステイゴールド,https://www.stayg.jp,東京都,不動産業・物品賃貸業,117.10%,1003.4 ,98.0 ,3,3,2010,×,,,,,
11,GATES,https://gatestokyo.co.jp,東京都,不動産業・物品賃貸業,110.80%,9457.5 ,1009.8 ,90,45,2012,×,,,,,
12,トラーナ,https://torana.co.jp,東京都,教育・学習支援業,103.20%,123.6 ,14.7 ,160,15,2015,×,,,,,
13,プロジェクトカンパニー,https://projectcompany.co.jp/,東京都,学術研究・専門・技術サービス業,102.70%,1104.9 ,132.7 ,40,6,2016,〇,,,,,
14,SoLabo,https://so-labo.co.jp,東京都,学術研究・専門・技術サービス業,100.30%,512.8 ,63.8 ,50,22,2015,×,,,,,
15,AirX,https://airx.co.jp,東京都,運輸業・郵便業,97.80%,153.9 ,19.9 ,9,3,2015,×,,,,,
16,シューマツワーカー,https://company.shuuumatu-worker.jp,東京都,学術研究・専門・技術サービス業,91.70%,930.6 ,132.1 ,40,10,2016,×,,,,,
17,クジラテラス,https://kuji-ra.com,岩手県,建設業,89.00%,343.9 ,50.9 ,3,―,2017,×,,,,,
18,フードフォース,http://www.foodforce.nagoya,愛知県,卸売業・小売業,86.90%,283.5 ,43.4 ,20,9,2015,×,,,,,
19,ユナイテッドシルク,https://united-silk.co.jp,愛媛県,卸売業・小売業,86.80%,542.3 ,83.1 ,8,5,2016,×,,,,,
20,sumarch,https://sumarch.co.jp,愛知県,不動産業・物品賃貸業,86.30%,3736.2 ,577.7 ,150,45,2009,×,,,,,
21,Amazia,https://amazia.co.jp,東京都,情報通信業,85.90%,7524.5 ,1171.1 ,29,11,2009,〇,,,,,
22,GA technologies,https://www.ga-tech.co.jp/,東京都,不動産業・物品賃貸業,85.50%,60957.0 ,9557.0 ,479,109,2013,〇,,,,,
23,日本3Dプリンター,https://3dprinter.co.jp,東京都,卸売業・小売業,83.90%,731.8 ,117.6 ,18,5,2013,×,,,,,
24,リブ・ゲート,https://live-gate.co.jp,大阪府,不動産業・物品賃貸業,77.70%,693.8 ,123.6 ,1,5,2016,×,,,,,
25,Progate,https://prog-8.com/,東京都,教育・学習支援業,77.70%,727.0 ,129.7 ,49,15,2014,×,,,,,
26,ビーライトネオ,http://b-lightgroup.co.jp,愛知県,建設業,76.80%,2830.4 ,511.9 ,14,6,2016,×,,,,,
27,North Star Management,https://northstar.co.jp,東京都,学術研究・専門・技術サービス業,75.90%,587.6 ,108.0 ,10,2,2016,×,,,,,
28,縁人,https://縁人.jp,東京都,情報通信業,74.30%,604.2 ,114.1 ,7,7,2007,×,,,,,
29,ハーバルアイ,https://www.herbal-i.co.jp/,福岡県,小売業・卸売業,72.20%,856.5 ,167.6 ,60,10,2015,×,,,,,
30,リアライズコーポレーション,https://www.realizecorp.co.jp,東京都,金融業・保険業,70.80%,25387.4 ,5091.5 ,50,10,2005,×,,,,,
31,GIG,https://giginc.co.jp,東京都,学術研究・専門・技術サービス業,70.80%,525.4 ,105.5 ,72,19,2016,×,,,,,
32,リードエッジコンサルティング,https://leadedge-c.com,東京都,学術研究・専門・技術サービス業,69.80%,159.7 ,32.6 ,5,1,2014,×,,,,,
33,ネオホーム,https://www.neohome.jp/,熊本県,建設業,69.20%,1216.9 ,251.3 ,11,6,2016,×,,,,,
34,サイバーセキュリティクラウド,https://www.cscloud.co.jp/,東京都,情報通信業,69.10%,1194.0 ,247.0 ,59,19,2010,〇,,,,,
35,coly,https://colyinc.com,東京都,生活関連サービス業・娯楽業,67.40%,6331.6 ,1350.6 ,236,94,2014,〇,,,,,
36,BoCo,https://www.boco.co.jp,東京都,製造業,67.00%,515.5 ,110.7 ,30,18,2015,×,,,,,
37,スリー・ディー・マトリックス,http://www.3d-matrix.co.jp,東京都,製造業,64.90%,1024.4 ,228.6 ,69,42,2004,〇,,,,,
38,GMW,https://www.g-m-w.jp,愛知県,卸売業・小売業,64.20%,141.0 ,31.9 ,3,1,2008,×,,,,,
39,ジョーレン,https://www.joolen.co.jp,千葉県,情報通信業,63.60%,155.1 ,35.4 ,31,9,2011,×,,,,,
40,GUILD STUDIO,https://guildstudio.co.jp,東京都,学術研究・専門・技術サービス業,63.00%,2195.9 ,507.0 ,64,12,2016,×,,,,,
41,レンティオ,https://www.rentio.jp/,東京都,生活関連サービス業・娯楽業,62.60%,865.3 ,201.4 ,90,36,2015,×,,,,,
42,Kuradashi,https://www.kuradashi.jp/,東京都,情報通信業,60.80%,1263.3 ,304.1 ,33,3,2014,×,,,,,
43,Bubblestar,https://bubblestar.jp,大和市,製造業,59.50%,1670.4 ,411.6 ,9,14,2010,×,,,,,
44,MO設計,https://mosekkei.wixsite.com/moweb,福岡県,建設業,57.60%,140.4 ,35.9 ,9,4,2017,×,,,,,
45,Relic,https://relic.co.jp/,東京都,情報通信業,57.00%,1110.5 ,287.2 ,69,15,2015,×,,,,,
46,いつも,https://itsumo365.co.jp/,東京都,学術研究・専門・技術サービス業,56.80%,8797.2 ,2282.7 ,175,107,2007,×,,,,,
47,グロウ,http://gro-w.jp/,大阪府,卸売業・小売業,56.70%,4533.0 ,1178.0 ,55,22,2008,×,,,,,
48,W-ENDLESS,https://www.w-endless.co.jp/,大阪府,学術研究・専門・技術サービス業,56.50%,1696.3 ,442.2 ,90,45,2014,×,,,,,
49,Institution for a Global Society,https://i-globalsociety.com/,東京都,情報通信業,54.60%,514.4 ,139.3 ,33,20,2010,〇,,,,,
50,ジーエヌアイグループ,https://www.gnipharma.com,東京都,製造業,54.50%,9773.9 ,2648.5 ,539,275,2001,〇,,,,,
51,新潟土地建物販売センター,https://niigata-tochitate.jp,新潟県,不動産業・物品賃貸業,54.50%,1494.6 ,405.1 ,25,9,2013,×,,,,,
52,サンガッチョジャパン,https://via.sangacio.com,東京都,製造業,53.10%,413.2 ,115.0 ,3,2,2015,×,,,,,
53,SHIFT,https://www.shiftinc.jp,東京都,情報通信業,52.00%,28712.2 ,8174.1 ,4800,1971,2005,〇,,,,,
54, i-net.creation,https://inet-osaka.jp/,大阪府,情報通信業,50.40%,194.3 ,57.1 ,35,7,2013,×,,,,,
55,ゼンマーケット,https://corporate.zenmarket.jp,大阪府,卸売業・小売業,49.60%,7188.4 ,2146.9 ,195,56,2014,×,,,,,
56,AI CROSS,https://aicross.co.jp/,東京都,情報通信業,49.20%,1908.5 ,574.1 ,33,20,2015,〇,,,,,
57,レーザーテック,https://www.lasertec.co.jp/,神奈川県,製造業,49.00%,70248.3 ,21252.5 ,529,332,1960,〇,,,,,
58,サポータス,https://supportas.co.jp,東京都,情報通信業,48.20%,1157.6 ,355.5 ,126,31,2010,×,,,,,
59,LIVE,https://www.live-inc.co.jp,愛知県,学術研究・専門・技術サービス業,48.10%,429.3 ,132.1 ,21,12,2014,×,,,,,
60,AINS-LAB INC.,http://ainslab.com,兵庫県,学術研究・専門・技術サービス業,47.50%,1504.5 ,468.5 ,10,10,2010,×,,,,,
